store,address,phone,address2,지역구
상계당현점,"서울 노원구 동일로213길 77 상가동 101호,102호,103호",1577-9621,"서울특별시 노원구 동일로213길 77 상가동 101호,102호,103호",노원구
삼각산SK점,"서울 강북구 삼양로19길 214, 금강빌딩 1층",1577-9621 소프트크림 판매점,"서울특별시 강북구 삼양로19길 214, 금강빌딩 1층",강북구
뚝섬유원지점,서울 광진구 능동로4길 17,1577-9621,서울특별시 광진구 능동로4길 17,광진구
강서우장산점,"서울 강서구 강서로48길 47, 1층",02-3663-9174,"서울특별시 강서구 강서로48길 47, 1층",강서구
동작휴엔하임점,"서울 동작구 상도로15길 131(비 102호, 비 103호)",1577-9621,"서울특별시 동작구 상도로15길 131(비 102호, 비 103호)",동작구
오류북부점,서울 구로구 고척로1길 23,1577-9621 소프트크림 판매점,서울특별시 구로구 고척로1길 23,구로구
양재에이스점,"서울 서초구 남부순환로354길 14, 1층",1577-9621,"서울특별시 서초구 남부순환로354길 14, 1층",서초구
송파거여점,"서울 송파구 오금로56길 16, 1층 101호",1577-9621 소프트크림 판매점,"서울특별시 송파구 오금로56길 16, 1층 101호",송파구
불암아이파크점,서울 노원구 덕릉로118길 29 불암현대아파트 상가 210호,1577-9621,서울특별시 노원구 덕릉로118길 29 불암현대아파트 상가 210호,노원구
세종문화회관점,서울 종로구 새문안로5가길 3-1,1577-9621 소프트크림 판매점,서울특별시 종로구 새문안로5가길 3-1,종로구
금천가산점,서울 금천구 가산로 134,1577-9621 소프트크림 판매점,서울특별시 금천구 가산로 134,금천구
대청역점,서울 강남구 개포로 623,1577-9621,서울특별시 강남구 개포로 623,강남구
명동세종점,서울 중구 퇴계로 141,1577-9621 소프트크림 판매점,서울특별시 중구 퇴계로 141,중구
도곡공원점,서울 강남구 도곡로4길 5,1577-9621 소프트크림 판매점,서울특별시 강남구 도곡로4길 5,강남구
가양대교점,"서울 강서구 양천로 492, 1층",1577-9621,"서울특별시 강서구 양천로 492, 1층",강서구
마천타운점,서울 송파구 마천로61길 25,1577-9621 소프트크림 판매점,서울특별시 송파구 마천로61길 25,송파구
천호현대점,서울 강동구 올림픽로70길 39,1577-9621 소프트크림 판매점,서울특별시 강동구 올림픽로70길 39,강동구
대치멤버스점,서울 강남구 삼성로85길 42,02-565-1278,서울특별시 강남구 삼성로85길 42,강남구
논현힐탑점,서울 강남구 논현로 639,1577-9621,서울특별시 강남구 논현로 639,강남구
이수태평점,서울 동작구 사당로 301-1,1577-9621,서울특별시 동작구 사당로 301-1,동작구
종각중앙점,서울 종로구 삼봉로 95 (종로1가) 대성스카이렉스 1층 104호,1577-9621,서울특별시 종로구 삼봉로 95 (종로1가) 대성스카이렉스 1층 104호,종로구
삼전점,서울 송파구 백제고분로22길 9,1577-9621 소프트크림 판매점,서울특별시 송파구 백제고분로22길 9,송파구
메트로칸점,서울 강남구 테헤란로88길 10 신안메트로상가 108호,1577-9621,서울특별시 강남구 테헤란로88길 10 신안메트로상가 108호,강남구
대림두암점,서울 영등포구 대림로29길 24,1577-9621,서울특별시 영등포구 대림로29길 24,영등포구
풍납대동점,"서울특별시 송파구 풍성로 41, 1층",1577-9621,"서울특별시 송파구 풍성로 41, 1층",송파구
명일스타점,서울 강동구 고덕로38길 64,02-427-3120,서울특별시 강동구 고덕로38길 64,강동구
강동구청점,서울 강동구 성내로5길 19,1577-9621 소프트크림 판매점,서울특별시 강동구 성내로5길 19,강동구
논현한바위점,서울 강남구 강남대로118길 30,02-516-5424 소프트크림 판매점,서울특별시 강남구 강남대로118길 30,강남구
정릉서경대점,서울특별시 성북구 보국문로16길 48,1577-9621 소프트크림 판매점,서울특별시 성북구 보국문로16길 48,성북구
노량진점,서울 동작구 노량진로 196 JH빌딩,1577-9621 소프트크림 판매점,서울특별시 동작구 노량진로 196 JH빌딩,동작구
대방점,서울 동작구 상도로 69,1577-9621 소프트크림 판매점,서울특별시 동작구 상도로 69,동작구
길동드림힐점,서울 강동구 양재대로111길 54,1577-9621 소프트크림 판매점,서울특별시 강동구 양재대로111길 54,강동구
서초남부점,서울 서초구 남부순환로323길 38-17,02-581-8904 소프트크림 판매점,서울특별시 서초구 남부순환로323길 38-17,서초구
삼성플러스원점,서울 강남구 봉은사로57길 13 (삼성동) 프리스원센터빌딩 지하1층 일부,1577-9621 소프트크림 판매점,서울특별시 강남구 봉은사로57길 13 (삼성동) 프리스원센터빌딩 지하1층 일부,강남구
천왕역점,서울 구로구 오리로 1154-7,1577-9621 소프트크림 판매점,서울특별시 구로구 오리로 1154-7,구로구
테헤란로점,"서울 강남구 테헤란로 428, 1층 105호",1577-9621 소프트크림 판매점,"서울특별시 강남구 테헤란로 428, 1층 105호",강남구
중계건영점,서울 노원구 노원로22길 77 건영아파트상가 104호,1577-9621 소프트크림 판매점,서울특별시 노원구 노원로22길 77 건영아파트상가 104호,노원구
공릉풍림점,"서울 노원구 섬밭로 139 (104, 105, 106호)",1577-9621,"서울특별시 노원구 섬밭로 139 (104, 105, 106호)",노원구
양재점,서울 서초구 마방로10길 22,1577-9621 소프트크림 판매점,서울특별시 서초구 마방로10길 22,서초구
목동13단지점,"서울 양천구 목동동로 100 A동 113,114호",1577-9621,"서울특별시 양천구 목동동로 100 A동 113,114호",양천구
연대점,서울 서대문구 연세로4길 12,02-365-1797,서울특별시 서대문구 연세로4길 12,서대문구
길동승리점,서울 강동구 천중로40길 46 (길동한솔빌라트 105호),1577-9621 소프트크림 판매점,서울특별시 강동구 천중로40길 46 (길동한솔빌라트 105호),강동구
수유사랑점,서울 강북구 오패산로77길 17 (번동),1577-9621,서울특별시 강북구 오패산로77길 17 (번동),강북구
까치산점,서울 강서구 강서로7길 19,02-2697-2810,서울특별시 강서구 강서로7길 19,강서구
수유점,서울 강북구 노해로 38,02-908-9303,서울특별시 강북구 노해로 38,강북구
신방화점,"서울 강서구 방화동로 80 외 2필지 제 가호 내제1,2,3호",1577-9621,"서울특별시 강서구 방화동로 80 외 2필지 제 가호 내제1,2,3호",강서구
창동신한점,서울특별시 도봉구 마들로11길 71,02-992-6451,서울특별시 도봉구 마들로11길 71,도봉구
연신내역점,서울 은평구 연서로 246,1577-9621,서울특별시 은평구 연서로 246,은평구
화곡공원점,서울특별시 강서구 까치산로4길 34,02-2602-6249,서울특별시 강서구 까치산로4길 34,강서구
문정본점,서울 송파구 중대로 68,1577-9621,서울특별시 송파구 중대로 68,송파구
오류역점,"서울 구로구 경인로20길 8, 1층",1577-9621 소프트크림 판매점,"서울특별시 구로구 경인로20길 8, 1층",구로구
방이2점,서울 송파구 올림픽로32길 47(방이동) 1층,1577-9621 소프트크림 판매점,서울특별시 송파구 올림픽로32길 47(방이동) 1층,송파구
장안3점,서울 동대문구 천호대로77길 84,1577-9621 소프트크림 판매점,서울특별시 동대문구 천호대로77길 84,동대문구
개봉역점,서울 구로구 경인로40길 47 개봉역사 내 1층 2-1호,1577-9621 소프트크림 판매점,서울특별시 구로구 경인로40길 47 개봉역사 내 1층 2-1호,구로구
신당점,서울 중구 동호로10길 21,1577-9621 소프트크림 판매점,서울특별시 중구 동호로10길 21,중구
양평우림점,서울 영등포구 양산로 43 양평우림 E-비지니스센터 101호,1577-9621 소프트크림 판매점,서울특별시 영등포구 양산로 43 양평우림 E-비지니스센터 101호,영등포구
역삼충현점,서울 강남구 봉은사로30길 28,1577-9621 소프트크림 판매점,서울특별시 강남구 봉은사로30길 28,강남구
강남센터점,서울 강남구 강남대로96길 5,02-501-0526 소프트크림 판매점,서울특별시 강남구 강남대로96길 5,강남구
서초라디안점,서울 서초구 서초중앙로 49,02-521-8506 소프트크림 판매점,서울특별시 서초구 서초중앙로 49,서초구
삼성타운점,서울 서초구 서초대로74길 23 삼성트라1층,1577-9621 소프트크림 판매점,서울특별시 서초구 서초대로74길 23 삼성트라1층,서초구
서교2점,서울 마포구 월드컵북로5길 29,1577-9621 소프트크림 판매점,서울특별시 마포구 월드컵북로5길 29,마포구
방학본점,서울 도봉구 방학로2길 40,02-3491-0917,서울특별시 도봉구 방학로2길 40,도봉구
광흥창역점,서울특별시 마포구 독막로 176 (구수동),1577-9621,서울특별시 마포구 독막로 176 (구수동),마포구
양재제일점,서울 서초구 동산로2길 11 월산빌딩 1층,1577-9621 소프트크림 판매점,서울특별시 서초구 동산로2길 11 월산빌딩 1층,서초구
원자력병원점,서울 노원구 공릉로46길 18,1577-9621,서울특별시 노원구 공릉로46길 18,노원구
신길점,서울 영등포구 도림로 322,02-845-0550 소프트크림 판매점,서울특별시 영등포구 도림로 322,영등포구
신길대신점,서울 영등포구 도신로60길 2,1577-9621,서울특별시 영등포구 도신로60길 2,영등포구
디지털타워점,서울 성동구 성수일로4길 25,1577-9621,서울특별시 성동구 성수일로4길 25,성동구
군자하나점,서울 광진구 천호대로109길 10(중곡동),1577-9621,서울특별시 광진구 천호대로109길 10(중곡동),광진구
서초이오빌,서울 서초구 효령로53길 45,02-581-8904 소프트크림 판매점,서울특별시 서초구 효령로53길 45,서초구
동작대방점,서울 동작구 알마타길 37 (대방동 508 상가동 204),1577-9621,서울특별시 동작구 알마타길 37 (대방동 508 상가동 204),동작구
압구정가은점,서울 강남구 선릉로153길 18,02-541-9745,서울특별시 강남구 선릉로153길 18,강남구
대치시내점,서울 강남구 도곡로77길 7,1577-9621,서울특별시 강남구 도곡로77길 7,강남구
가산엠파이어점,서울 금천구 범안로 1130 디지털엠파이어 빌딩 제 1층 107호,1577-9621,서울특별시 금천구 범안로 1130 디지털엠파이어 빌딩 제 1층 107호,금천구
가양점,서울 강서구 양천로 461,02-3661-9301 소프트크림 판매점,서울특별시 강서구 양천로 461,강서구
서울역점,서울 용산구 청파로 395,02-3275-3220,서울특별시 용산구 청파로 395,용산구
압구정5점,서울 강남구 도산대로49길 18,02-3442-5310,서울특별시 강남구 도산대로49길 18,강남구
서울대입구점,"서울 관악구 관악로 168, 105-1호 대우디오슈페리움2차 1층",1577-9621,"서울특별시 관악구 관악로 168, 105-1호 대우디오슈페리움2차 1층",관악구
서초이즈타워점,서울 서초구 사임당로 178 서초이즈타워 115호,02-587-3231,서울특별시 서초구 사임당로 178 서초이즈타워 115호,서초구
자곡신영점,서울특별시 강남구 자곡로 204-5  근린생활시설동 104호,1577-9621,서울특별시 강남구 자곡로 204-5 근린생활시설동 104호,강남구
가락시장역점,서울 송파구 중대로 105,1577-9621,서울특별시 송파구 중대로 105,송파구
역삼태극점,서울 강남구 강남대로78길 8 한국빌딩1층,02-556-0541,서울특별시 강남구 강남대로78길 8 한국빌딩1층,강남구
가산테크노점,서울 금천구 가마산로 96  106호,1577-9621,서울특별시 금천구 가마산로 96 106호,금천구
역삼디오빌점,서울 강남구 언주로 427,1577-9621,서울특별시 강남구 언주로 427,강남구
망원현대점,서울 마포구 희우정로20길 54 (망원동409-41),1577-9621,서울특별시 마포구 희우정로20길 54 (망원동409-41),마포구
구의명성점,서울 광진구 아차산로51길 62,1577-9621 소프트크림 판매점,서울특별시 광진구 아차산로51길 62,광진구
논현보람점,서울 강남구 논현로132길 15,02-512-1431,서울특별시 강남구 논현로132길 15,강남구
삼성역점,서울 강남구 테헤란로 532,02-3453-3369,서울특별시 강남구 테헤란로 532,강남구
금천벽산점,서울 금천구 가산디지털1로 219,1577-9621,서울특별시 금천구 가산디지털1로 219,금천구
목동역점,서울 양천구 신정중앙로 88,1577-9621 소프트크림 판매점,서울특별시 양천구 신정중앙로 88,양천구
보문점,서울 성북구 보문로 73,1577-9621,서울특별시 성북구 보문로 73,성북구
수유대한점,서울 강북구 수유로 79,02-905-1325,서울특별시 강북구 수유로 79,강북구
보라매쉐르빌점,서울 동작구 보라매로5길 43,02-836-8760,서울특별시 동작구 보라매로5길 43,동작구
홍대입구역점,서울특별시 마포구 월드컵북로2길 29,02-3421-3504,서울특별시 마포구 월드컵북로2길 29,마포구
상월곡역점,서울 성북구 화랑로 186,1577-9621,서울특별시 성북구 화랑로 186,성북구
종암아이파크점,서울특별시 성북구 종암로19길 50,1577-9621,서울특별시 성북구 종암로19길 50,성북구
종암점,서울 성북구 종암로 120,1577-9621,서울특별시 성북구 종암로 120,성북구
신사증권점,"서울 강남구 압구정로30길 18, 1층",1577-9621,"서울특별시 강남구 압구정로30길 18, 1층",강남구
동교스텔라점,서울 마포구 월드컵북로 20,1577-9621,서울특별시 마포구 월드컵북로 20,마포구
동부이촌점,"서울 용산구 이촌로 303 현대A 21동 제104-나호, 제105-가호",1577-9621,"서울특별시 용산구 이촌로 303 현대A 21동 제104-나호, 제105-가호",용산구
동대문역점,서울 종로구 종로 313-1,1577-9621,서울특별시 종로구 종로 313-1,종로구
밤섬자이행복점,서울 마포구 토정로 149,02-337-1444,서울특별시 마포구 토정로 149,마포구
벽산밸리점,서울 구로구 디지털로 271  벽산디지털밸리 3차 1층 106호,1577-9621,서울특별시 구로구 디지털로 271 벽산디지털밸리 3차 1층 106호,구로구
