,store,address,phone
28,용인화산점,경기 용인시 처인구 이동읍 화산로 114,1577-9621
29,안산두레점,"경기 안산시 상록구 두레로 10,1층",1577-9621
30,진접빌리지점,경기 남양주시 진접읍 경복대로17번안길 77-5,1577-9621 소프트크림 판매점
31,수원과학대점,경기 화성시 정남면 세자로 293-6,1577-9621
32,통진행복점,경기 김포시 통진읍 율마로438번길 51,1577-9621 소프트크림 판매점
33,시흥매화점,경기 시흥시 매화1로 22-3,1577-9621
34,금촌미소점,경기 파주시 금신초교길 56,1577-9621
35,포천터미널점,경기 포천시 중앙로 126-6,1577-9621
36,관양센터점,경기 안양시 동안구 관악대로373번길 28,1577-9621
37,동탄프리미엄점,경기 화성시 동탄기흥로257번가길 40-2,1577-9621 소프트크림 판매점
38,여주영진점,경기 여주시 강변유원지길 22-35 (영진리버빌아파트),1577-9621
39,수원기산점,경기 수원시 장안구 영화로86번길 8,1577-9621
40,두원공대점,경기 파주시 파주읍 주라위길 178,1577-9621
41,안산한양점,경기 안산시 단원구 달미로 63,1577-9621
42,이천삼백점,경기 이천시 향교로 144-11,1577-9621
43,해든시티점,경기 시흥시 서울대학로264번길 26-18,1577-9621
44,서울대공원점,경기 과천시 대공원광장로 102,1577-9621 소프트크림 판매점
45,북여주IC점,경기 여주시 흥천면 이여로 928,1577-9621
46,덕소쌍용점,경기 남양주시 와부읍 덕소로 196-14,1577-9621
47,용인백암사거리점,경기 용인시 처인구 백암면 백암로186번길 3,1577-9621
48,군포하니점,경기 군포시 번영로610번길 8,1577-9621
49,정남신리점,경기 화성시 정남면 신백길 108-4,1577-9621
50,한국잡월드점,경기 성남시 분당구 분당수서로 501,1577-9621
51,서정스마트점,"경기 평택시 서정역로58번길 39,104호",1577-9621
52,오포추자공단점,경기 광주시 오포읍 오포로 673-1,1577-9621 소프트크림 판매점
53,대야영남점,경기 시흥시 복지로120번길 8,1577-9621
54,구리교문점,경기 구리시 체육관로171번길 12,1577-9621 소프트크림 판매점
55,운정포인트점,"경기 파주시 운정로 28, 1층 일부",1577-9621
56,시흥현서점,"경기 시흥시 군자로504번길 7, 1층",1577-9621
57,오산더샵점,"경기 오산시 내삼미로 65 상가동 103, 104호",1577-9621
58,풍무푸르지오점,"경기 김포시 풍무1로 77, 1층 104호",1577-9621
59,지산포레스트점,경기 이천시 마장면 지산로 267 지산리조트 J플라자,1577-9621
60,매탄한샘점,경기 수원시 영통구 매여울로 36,1577-9621
61,성남시의료원점,경기 성남시 수정구 수정로171번길 10 성남시의료원 로비층(B1),1577-9621 소프트크림 판매점
62,평택세교점,경기 평택시 세교3로 26,1577-9621 소프트크림 판매점
63,옥정프라자점,"경기 양주시 옥정로 218, 113호",1577-9621
64,안산호수점,"경기 안산시 단원구 광덕서로 15, 호수공원대림아파트 동문상가 1층",1577-9621
65,시흥능곡점,경기 시흥시 승지로 7,1577-9621
66,옥길킹타워점,경기 부천시 양지로184번길 29,1577-9621
67,성남수진역점,"경기 성남시 수정구 산성대로 207, 1층",1577-9621
68,안양박달점,경기 안양시 만안구 양화로136번길 56,1577-9621
69,운정미래점,"경기 파주시 미래로602번길 31, 106호",1577-9621 소프트크림 판매점
70,여주한성점,"경기 여주시 우암로 190, 한성아파트상가 103~105호",1577-9621
71,정왕대림점,"경기 시흥시 중심상가로 13, 106호",1577-9621
72,양주옥정메인점,"경기 양주시 옥정동로7가길 36 양주옥정 메인타워, 116호",1577-9621 소프트크림 판매점
73,수지상현점,"경기 용인시 수지구 광교중앙로296번길 14, 108호",1577-9621
74,서이천점,경기 이천시 신둔면 서이천로 908 천지맨션 가동 1~3호,1577-9621
75,성남하나점,경기 성남시 수정구 남문로6번길 1,1577-9621
76,오포물류센터점,"경기 광주시 오포읍 오포로 292, 103호",1577-9621
77,오포금빛마을점,"경기 광주시 오포읍 오포로171번길 17-246, B1층",1577-9621 소프트크림 판매점
78,대명항점,경기 김포시 대곶면 대명항1로 40-2,1577-9621
79,대야미역점,경기 군포시 대야1로 17,1577-9621 소프트크림 판매점
80,풍무본점,"경기 김포시 풍무로 73, 제2층 205로, 206호",1577-9621 소프트크림 판매점
81,선부한양점,"경기 안산시 단원구 선부로 199, 101호, 102호",1577-9621 소프트크림 판매점
82,안양힐링점,경기 안양시 만안구 병목안로 216,1577-9621 소프트크림 판매점
83,풍무타워점,"경기 김포시 풍무2로 43, 104호, 105호",1577-9621
84,은계풍경채점,경기 시흥시 은계중앙로 151,1577-9621 소프트크림 판매점
85,화성증거리점,경기 화성시 향남읍 우등길 60,1577-9621 소프트크림 판매점
86,동두천운동장점,경기 동두천시 못골로 25,1577-9621
87,제부도점,경기 화성시 서신면 해안길 284,1577-9621
88,마도청원점,경기 화성시 마도면 마도로 504,1577-9621
89,풍무역점,경기 김포시 김포대로679번길 14-4,1577-9621
90,광교레이크점,경기 수원시 영통구 법조로 38 B30호,1577-9621 소프트크림 판매점
91,부천심곡본점,경기 부천시 부천로65번길 34,1577-9621
92,옥길퀸즈파크점,경기 부천시 옥길로 124 C동 1층 115호,1577-9621
93,안산화정초점,경기 안산시 단원구 화정천서로6길 13,1577-9621 소프트크림 판매점
94,다산듀플렉스점,"경기 남양주시 다산중앙로123번길 22-56, 101호",1577-9621
95,안산이동점,경기 안산시 상록구 석삼말로3길 10,1577-9621 소프트크림 판매점
96,무송공단점,경기 화성시 남양읍 현대기아로 457,1577-9621
97,우정조암점,경기 화성시 우정읍 3.1만세로 47,1577-9621 소프트크림 판매점
98,분당수내점,"경기 성남시 분당구 황새울로258번길 10-7, 101호",1577-9621
99,삼송마을점,경기 고양시 덕양구 고양대로2002번길 15,1577-9621 소프트크림 판매점
100,호매실에비뉴점,"경기 수원시 권선구 금곡로197번길 18-24, 101호",1577-9621
101,부천신일점,"경기 부천시 중동로254번길 64,119호",1577-9621 소프트크림 판매점
102,송탄은성점,경기 평택시 쇼핑로 17-1,1577-9621
103,마석우리점,경기 남양주시 화도읍 마석중앙로 51,1577-9621 소프트크림 판매점
104,법원스토리점,경기 파주시 법원읍 사임당로 883,1577-9621 소프트크림 판매점
105,화성팔탄덕우점,경기 화성시 팔탄면 온천로 153,1577-9621
106,동탄에이팩시티점,경기 화성시 동탄순환대로 823,1577-9621 소프트크림 판매점
107,용인백암점,경기 용인시 처인구 백암면 백암로 101,1577-9621 소프트크림 판매점
108,송화원룸점,경기 평택시 팽성읍 송화택지로25번길 24,1577-9621
109,와동무지개점,경기 안산시 단원구 사세충열로 14,1577-9621
110,이천행궁점,경기 이천시 영창로193번길 22,1577-9621 소프트크림 판매점
111,오산천점,"경기 오산시 경기대로333번길 30, 1층",1577-9621
112,평택장당점,경기 평택시 송탄로40번길 71-2,1577-9621 소프트크림 판매점
113,군포공단점,"경기 군포시 공단로 143, 1층",1577-9621 소프트크림 판매점
114,고양센터점,경기 고양시 덕양구 내유길 5,1577-9621
115,적성센터점,경기 파주시 적성면 솥뒤로 6,1577-9621
116,운양골든센터점,"경기 김포시 김포한강1로 250, 1층 110호",1577-9621
117,부천IC점,경기 부천시 오정로 194 일광 오정파크 1층,1577-9621
118,평택싸파점,경기 평택시 팽성읍 송화택지로 141,1577-9621
119,광교파인렉스점,"경기 수원시 영통구 대학3로4번길 2 파인렉스2차 110호,111호",1577-9621
120,팽성대교점,경기 평택시 팽성읍 팽성대교길 178,1577-9621 소프트크림 판매점
121,화성동남점,경기 화성시 정남면 만년로 438-11,1577-9621 소프트크림 판매점
122,안산호동점,경기 안산시 상록구 도매시장로3길 7,1577-9621 소프트크림 판매점
123,안산21세기점,"경기 안산시 단원구 보배2길 37, 102호",1577-9621 소프트크림 판매점
124,병점타운점,"경기 화성시 병점동로42번길 26,1층",1577-9621 소프트크림 판매점
125,김포고창마을점,"경기 김포시 김포한강3로237번길 16, 1층 103호",1577-9621 소프트크림 판매점
126,화성발안공단점,경기 화성시 향남읍 발안공단로5길 114,1577-9621 소프트크림 판매점
127,배곧월드점,"경기 시흥시 배곧4로 32-19, 114호",1577-9621 소프트크림 판매점
128,동탄호수공원점,"경기 화성시 동탄순환대로 127-23, 109호",1577-9621
129,송탄스타힐스점,경기 평택시 목천로17번길 39-4,1577-9621
130,시흥관광호텔점,경기 시흥시 평안상가4길 21,1577-9621
131,용인명지로점,경기 용인시 처인구 명지로 150,1577-9621
132,부천가톨릭대점,경기 부천시 지봉로34번길 22,1577-9621 소프트크림 판매점
133,광교대학로점,경기 수원시 영통구 대학1로50번길 12,1577-9621 소프트크림 판매점
134,안산각골점,경기 안산시 상록구 각골동로1길 1,1577-9621 소프트크림 판매점
135,안성인지점,경기 안성시 장기로69번길 28,1577-9621
136,안양예술공원점,경기 안양시 만안구 예술공원로 170,1577-9621 소프트크림 판매점
137,안양우성점,경기 안양시 만안구 박달로498번길 38,1577-9621
138,포천캐슬점,경기 포천시 호국로 1010-2 허브캐슬 3차 103동 101호,1577-9621
139,파주웅담점,경기 파주시 법원읍 술이홀로 1677,1577-9621
140,동두천제일점,경기 동두천시 평화로 2348,1577-9621 소프트크림 판매점
141,이천아리역로점,경기 이천시 아리역로15번길 3,1577-9621
142,화성청원점,경기 화성시 마도면 절골로 36,1577-9621 소프트크림 판매점
143,팔탄기천점,경기 화성시 팔탄면 건달산로 219-3,1577-9621
144,벽제로드점,경기 고양시 덕양구 혜음로 172,1577-9621 소프트크림 판매점
145,사우라엘점,경기 김포시 중구로 12,1577-9621
146,마석오복점,경기 남양주시 화도읍 비룡로33번안길 1,1577-9621
147,동탄물류센터점,경기 화성시 동탄물류로 69,1577-9621
148,모현센터점,"경기 용인시 처인구 모현읍 백옥대로2332번길 21-9,101호",1577-9621 소프트크림 판매점
149,서정인사이드점,경기 평택시 송탄2로 47,1577-9621 소프트크림 판매점
150,안산럭키점,"경기 안산시 상록구 정재로2길 5, 1층",1577-9621
151,여주현암점,경기 여주시 현암2길 28-10,1577-9621
152,안양관평로점,경기 안양시 동안구 관평로327번길 23,1577-9621
153,군포첨단점,경기 군포시 번영로 44 삼덕빌딩 106호,1577-9621
154,안산원룸점,경기 안산시 상록구 삼태기로 6-1,1577-9621 소프트크림 판매점
155,의정평화점,경기 의정부시 평화로484번길 18,1577-9621 소프트크림 판매점
156,퇴계원역점,경기 남양주시 퇴계원면 경춘북로 544,1577-9621 소프트크림 판매점
157,소사에이스점,경기 부천시 호현로 479,1577-9621 소프트크림 판매점
158,캠프통아일랜드점,경기 가평군 청평면 호반로 976,1577-9621
159,내유센터점,경기 고양시 덕양구 명봉산로6번길 20-5,1577-9621 소프트크림 판매점
160,영화센터점,경기 수원시 장안구 수성로382번길 14,1577-9621 소프트크림 판매점
161,심곡제일점,경기 부천시 신흥로22번길 50,1577-9621
162,화성가재점,경기 화성시 팔탄면 삼천병마로 556,1577-9621
163,탑동가온점,경기 수원시 권선구 탑동로48번길 12,1577-9621 소프트크림 판매점
164,고색산단2점,"경기 수원시 권선구 산업로 180 DH테크타워상가 121,122호",1577-9621 소프트크림 판매점
165,고색산단1점,"경기 수원시 권선구 산업로 180 DH테크타워상가 115,116호",1577-9621
166,인계복개천점,경기 수원시 팔달구 경수대로467번길 22,031-221-1999 소프트크림 판매점
167,안성중앙대학로점,"경기 안성시 대덕면 내리1길 3, 상가 101호",1577-9621 소프트크림 판매점
168,이천갈산우성점,경기 이천시 갈산로87번길 11,1577-9621
169,안양센트럴점,경기 안양시 만안구 냉천로175번길 22,1577-9621
170,금곡산단점,경기 남양주시 진접읍 경복대로212번길 54,1577-9621
171,서정타운점,"경기 평택시 정암로 10, 102호",1577-9621 소프트크림 판매점
172,연천옥계점,경기 연천군 군남면 군중로 4,1577-9621 소프트크림 판매점
173,여주청심로점,경기 여주시 청심로 196,1577-9621 소프트크림 판매점
174,성남태평행복점,경기 성남시 수정구 탄리로95번길 23,1577-9621 소프트크림 판매점
175,오산세마점,"경기 오산시 세마역로 95 세교테라스뷰 상가 113,114호",1577-9621
176,김포양촌마을점,"경기 김포시 양촌읍 양곡2로30번길 79, 아파트내상가 101호,102호",1577-9621
177,신곡빌리지점,경기 의정부시 발곡로31번길 27-8,1577-9621 소프트크림 판매점
178,용인초당역점,"경기 용인시 기흥구 동백중앙로 61-19, 107/108호(중동 1043-1)",1577-9621 소프트크림 판매점
179,안성내리센터점,"경기 안성시 대덕면 내리7길 21, 청룡오피스텔B01호(대덕면 내리715-1)",1577-9621
180,다산한신점,경기 남양주시 미금로56번길 11,1577-9621 소프트크림 판매점
181,이천병원점,경기 이천시 관고재로15번길 11,1577-9621
182,마석IC점,경기 남양주시 화도읍 녹촌로 128-17,1577-9621
183,평택내기삼거리점,경기 평택시 포승읍 서동대로 1152,1577-9621
184,수원병무청점,경기 수원시 팔달구 고화로 129 (화서동58-3외1필지) 동원블루밍101동 201호,1577-9621 소프트크림 판매점
185,안산와동타운점,"경기 안산시 단원구 화정천동로1길 6, 1층",1577-9621
186,화성이화점,경기 화성시 우정읍 매화길 3,1577-9621
187,평택원정점,경기 평택시 포승읍 평택항로 492,1577-9621 소프트크림 판매점
188,포천동교점,경기 포천시 원동교길 157,1577-9621
189,SH동삭점,경기 평택시 동삭로 386,1577-9621
190,정왕세일점,"경기 시흥시 정왕대로337번안길 2, 1층",1577-9621 소프트크림 판매점
191,새꽃마을점,경기 파주시 새꽃로 35,1577-9621
192,화성시청점,"경기 화성시 남양읍 남양로 695, 1층 106,107호",1577-9621
193,정왕원룸점,"경기 시흥시 오동마을로5번길 25, 1층",1577-9621 소프트크림 판매점
194,시흥하늘휴게소점,경기 시흥시 서울외곽순환고속도로 105-1 시흥본선상공형휴게소 일산방향,1577-9621
195,의정부용로점,경기 의정부시 부용로203번길 28,1577-9621 소프트크림 판매점
196,율정8단지점,"경기 양주시 옥정동로 258 옥정천년나무 8단지 제상가동 103호,104호",1577-9621
197,오산센터점,경기 오산시 원동로7번길 34,1577-9621 소프트크림 판매점
198,화성삼신점,"경기 화성시 화산중앙로64번길 3 삼신빌딩 1층 (106호,107호)",1577-9621
199,이천마장점,경기 이천시 마장면 서이천로 83,1577-9621 소프트크림 판매점
200,수원성균관대점,"경기 수원시 장안구 화산로233번길 42, 1층",1577-9621 소프트크림 판매점
201,정왕드림시티점,경기 시흥시 역전로 300 101호,1577-9621 소프트크림 판매점
202,광주능평점,경기 광주시 오포읍 대명대길 8,1577-9621
203,부천파크리움점,"경기 부천시 중동로248번길 45, 센트럴파크리움 1층 108호",1577-9621
204,안산시티점,"경기 안산시 단원구 당곡로 33, 상가동 117,118호",1577-9621 소프트크림 판매점
205,남양주삼신점,경기 남양주시 진접읍 봉현로36번길 21,1577-9621
206,경동해피점,"경기 수원시 영통구 에듀타운로 108 경동해피리움오피스텔 상가 113,114호",1577-9621
207,기흥구청점,경기 용인시 기흥구 구갈로72번길 14-1 서안빌딩 1층 102호,1577-9621 소프트크림 판매점
208,교하빌리지점,경기 파주시 구절초길 37,1577-9621
209,어연산단점,경기 평택시 청북읍 청북산단로 50,1577-9621 소프트크림 판매점
210,수원여대인제점,경기 수원시 권선구 온정로 72,1577-9621
211,안산패션타운점,"경기 안산시 상록구 천문3길 11, 1층",1577-9621 소프트크림 판매점
212,수원여대해란점,경기 화성시 봉담읍 주석로 1098,1577-9621
213,평택용이대로점,경기 평택시 현신3길 6,1577-9621 소프트크림 판매점
214,별내용암천점,"경기 남양주시 별내3로 161 별사랑마을 2-7단지 상가동 102,103,104호",1577-9621 소프트크림 판매점
215,용인영화점,"경기 용인시 처인구 경안천로256번길 47-12 임원마을 아파트 제상가동 101호,102호",1577-9621
216,양주옥정점,"경기 양주시 옥정동로 257, 율정마을 7단지 제상가동 106,107,108호",1577-9621 소프트크림 판매점
217,광주노곡점,경기 광주시 도척면 도척윗로 290-7,1577-9621
218,시흥하나점,"경기 시흥시 삼미시장4길 17, 1층",1577-9621
219,김포학운점,경기 김포시 양촌읍 황금로109번길 80,1577-9621 소프트크림 판매점
220,수원3공단점,경기 수원시 권선구 산업로156번길 201,1577-9621 소프트크림 판매점
221,시흥봉우재로점,"경기 시흥시 봉우재로36번길 8, 1층",1577-9621
222,일죽IC점,"경기 안성시 일죽면 내둔길 40, 나동",1577-9621
223,동탄골드점,"경기 화성시 동탄하나1길 47-3, 103, 104, 105호",1577-9621
224,안산시낭북로점,"경기 안산시 상록구 시낭북로4길 11, 1층",1577-9621 소프트크림 판매점
225,식사블루밍점,"경기 고양시 일산동구 위시티3로 73, 1층",1577-9621 소프트크림 판매점
226,안산황금점,경기 안산시 단원구 보화로 10,1577-9621 소프트크림 판매점
227,향남부영점,경기 화성시 향남읍 하길로 70 부영 10단지 상가 101,1577-9621 소프트크림 판매점
228,와동스타점,경기 안산시 단원구 와동로 42,1577-9621 소프트크림 판매점
229,봉담센터점,"경기 화성시 봉담읍 동화길 93-6, 제1층 제 104,105호",1577-9621
230,수원능실점,"경기 수원시 권선구 호매실로166번길 63, 101호,102호",1577-9621
231,평택물류단지점,경기 평택시 도일유통길 21-1,1577-9621
232,시흥제일점,"경기 시흥시 정왕천로375번길 4-11, 1층",1577-9621
233,용인상하점,"경기 용인시 기흥구 중부대로747번길 17,1층",1577-9621
234,청평청구점,경기 가평군 청평면 경춘로 819-21,1577-9621
235,호평루첸점,"경기 남양주시 천마산로 25 호평동대명루첸아파트 상가동 109호, 110호",1577-9621 소프트크림 판매점
236,안산송호점,경기 안산시 상록구 송호1길 53,1577-9621
237,일산웨스턴점,"경기 고양시 일산동구 정발산로 23, 102호, 103호",1577-9621 소프트크림 판매점
238,사강터미널점,경기 화성시 송산면 송산포도로 104,1577-9621
239,월피센터점,"경기 안산시 상록구 예술광장로 7, 101호",1577-9621
240,정남대로점,경기 화성시 정남면 정남동로 170,1577-9621 소프트크림 판매점
241,신천초교로점,"경기 시흥시 포도원로79번길 2, 102호, 103호",1577-9621
242,수지신봉점,경기 용인시 수지구 신봉2로 60 웰스토시티앤애비뉴 2동 B116호,1577-9621 소프트크림 판매점
243,월곶중앙점,경기 시흥시 월곶중앙로 58,031-318-8222
244,화성남양점,경기도 화성시 남양읍 남양시장로66번길 2,1577-9621
245,송탄서해점,경기 평택시 점촌1로58번길 30 (서정동),1577-9621
246,오산점,"경기 오산시 운천로165번길 3,1층",1577-9621
247,파주창만점,경기도 파주시 광탄면 만장산로 234,1577-9621
248,화성본점,경기도 화성시 정남면 서봉로 1006,1577-9621
249,군포삼성점,"경기 군포시 삼성로 41 상가동 제1층 101,102호",1577-9621
250,의왕포일점,경기 의왕시 흥안대로456번길 122,1577-9621
251,동탄뷰파크점,"경기 화성시 동탄원천로 382-37 상가2동 102,103호",1577-9621
252,심곡중앙점,경기 부천시 원미로17번길 43,1577-9621
253,안성원곡점,경기 안성시 원곡면 가천중앙1길 59,031-657-7279
254,안성미양점,경기 안성시 미양면 안성맞춤대로 368,1577-9621
255,시흥과림점,경기 시흥시 금오로 485,02-2613-0065
256,삼성시티점,경기 화성시 삼성1로 160,031-613-8961
257,당정역점,"경기 군포시 군포역1길 186 상가1중코너(당동, 대흥아파트상가)",1577-9621
258,광명역점,경기 광명시 오리로985번길 8,02-2612-8643
259,내손팬텀점,경기 의왕시 계원대학로 25,1577-9621
260,평촌점,경기 안양시 동안구 관평로182번길 17,031-388-9401
261,구리번영점,경기 구리시 체육관로80번길 19,031-551-8245
262,구리원일점,경기 구리시 동구릉로53번길 79,1577-9621
263,수원매여울점,경기 수원시 영통구 매여울로68번길 2,1577-9621
264,양주휴게소점,경기 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설,1577-9621
265,진안대풍점,경기 화성시 병점동로 110-11,1577-9621
266,시화공단점,"경기 시흥시 정왕천로 197 디지털파크 139,155호",1577-9621
267,분당타운점,경기 성남시 분당구 분당로311번길 6,1577-9621
268,의정부중앙점,경기도 의정부시 시민로122번길 11,1577-9621
269,태안안녕점,경기도 화성시 안녕남로 140,1577-9621
270,김포원산점,경기 김포시 하성면 월하로 633,031-996-4799 소프트크림 판매점
271,안산예스점,경기 안산시 상록구 후곡로 23,031-406-2972 소프트크림 판매점
272,이천중리점,경기 이천시 남천로 42,1577-9621
273,안산본원점,"경기 안산시 상록구 충장로2길 16, 1층",1577-9621 소프트크림 판매점
274,구리인창점,경기 구리시 건원대로 42,1577-9621
275,일산주엽점,경기 고양시 일산서구 중앙로 1376 (주엽동),1577-9621 소프트크림 판매점
276,원흥주공점,경기도 고양시 덕양구 도래울로 16 LH도래울마을6단지 101,1577-9621 소프트크림 판매점
277,판교타워점,경기 성남시 분당구 판교로227번길 6 (삼평동 617 109호),1577-9621 소프트크림 판매점
278,화성사강점,경기도 화성시 송산면 사강시장길 52,1577-9621
279,판교점,경기 성남시 분당구 판교역로 235,031-696-7669 소프트크림 판매점
280,안산성포점,경기 안산시 상록구 화랑로 501,031-480-3795
281,기아화성점,경기 화성시 우정읍 기아자동차로 95,031-351-1704
282,포승원정점,경기 평택시 포승읍 호암길 3,1577-9621
283,부천테크노점,경기 부천시 석천로 397 부천테크노파크 쌍용 3차 203동 202호,1577-9621 소프트크림 판매점
284,수원하이엔드점,경기 수원시 팔달구 효원로 299,1577-9621
285,포승본점,경기 평택시 포승읍 여술4길 18-22,1577-9621 소프트크림 판매점
286,범박휴먼시아점,경기 부천시 양지로 20 범박휴먼시아1단지 상가동 1층 105호,1577-9621
287,시흥정왕점,"경기 시흥시 정왕천로359번길 30, 1층",1577-9621
288,오이도등대점,경기 시흥시 오이도로157번길 4,1577-9621 소프트크림 판매점
289,성남대성점,경기 성남시 중원구 광명로 17,031-754-3741
290,민락부용점,경기도 의정부시 오목로 251 부용마을3단지상가 102호,1577-9621 소프트크림 판매점
291,분당판테온점,경기 성남시 분당구 황새울로200번길 9-7,1577-9621
292,트리플타워점,경기 부천시 소향로253번길 17,032-324-6306 소프트크림 판매점
293,철산점,"경기도 광명시 디지털로33번길 5,105,106,107호",1577-9621 소프트크림 판매점
294,양주석우점,경기 양주시 광적면 광적로 151,031-871-0897
295,과천타워점,경기 과천시 별양상가1로 10 과천타워 109호 (별양동),1577-9621
296,김포율생점,경기 김포시 대곶면 율생중앙로 33,1577-9621
297,부천광장점,경기 부천시 부천로10번길 13,032-611-3884
298,오산본점,경기 오산시 궐리사로46번길 60-11,1577-9621
299,원곡다문화점,경기도 안산시 단원구 중앙대로 489,1577-9621
300,월곶센타점,경기 시흥시 월곶중앙로 71,1577-9621
301,역곡남부점,경기 부천시 부광로 10,1577-9621
302,고잔로데오점,경기 안산시 단원구 광덕2로 163-11,1577-9621
303,안산중앙역점,경기 안산시 단원구 고잔로 108,031-405-3336
304,광주초월점,경기 광주시 초월읍 산수로 500,1577-9621
305,수원파장점,경기 수원시 장안구 장안로 264-11 (정자동),1577-9621
306,소사삼익점,"경기 부천시 안곡로 4 삼익아파트 상가동 107호,108호,109호",1577-9621
307,송탄지산점,경기 평택시 탄현로 338-1,1577-9621
308,판테온리젠시점,경기도 성남시 분당구 백현로 100 (정자동) 판테온리젠시 1층,031-785-7014
309,파주신안점,경기도 파주시 아동로 46-14  (아동동 325-3),1577-9621
310,양주백석점,경기 양주시 백석읍 부흥로 957,031-877-5598
311,성남우림점,경기 성남시 중원구 갈마치로 302 우림라이온스밸리5차 B동 204호,1577-9621
312,파주영장점,경기 파주시 광탄면 보광로 623-22,1577-9621
313,여주능서점,경기 여주시 능서면 마장로 68,031-881-4350
314,홍죽산단점,경기도 양주시 백석읍 권율로 1307,1577-9621
315,하남덕풍점,경기 하남시 신장로 168,1577-9621
316,서현점,경기 성남시 분당구 황새울로342번길 19,031-707-2864
317,화성만년로점,경기 화성시 향남읍 만년로 199,1577-9621
318,엠파이어1호점,경기 수원시 영통구 신원로 88,031-695-6563
319,별내별사랑점,"경기 남양주시 별내3로 251 별사랑마을 2-10단지 상가동 102,103호",1577-9621
320,안중성심점,"경기 평택시 안중읍 안현로서6길 10 (현화리, 1층)",1577-9621 소프트크림 판매점
321,평택지산점,경기도 평택시 송탄로361번길 39,1577-9621 소프트크림 판매점
322,트리플렉스점,경기 안산시 단원구 풍전로 37-9 트리플렉스에이단지 301동 137호,031-8084-4989 소프트크림 판매점
323,별내한별점,"경기 남양주시 별내4로 62 별빛마을 3-5단지 제상가동 102,103호",1577-9621
324,소사본점,경기 부천시 소사로102번길 66,032-347-8676 소프트크림 판매점
325,소사점,경기 부천시 은성로 86,032-345-1660 소프트크림 판매점
326,의정부헤드원점,경기 의정부시 평화로 554 헤드원호텔 1층 101호,1577-9621
327,안양갤럭시점,경기 안양시 만안구 만안로 61 갤럭시 뷰 101호,1577-9621 소프트크림 판매점
328,평촌펜테리움2점,경기도 안양시 동안구 학의로 282,1577-9621
329,일산본점,경기도 고양시 일산서구 대산로 214,031-917-7664 소프트크림 판매점
330,김포마송점,경기 김포시 통진읍 조강로 86,1577-9621 소프트크림 판매점
331,성남구시청점,경기 성남시 수정구 수정로 172,031-756-3390 소프트크림 판매점
332,성남중동점,경기 성남시 중원구 산성대로 348,1577-9621 소프트크림 판매점
333,성남선텍점,경기 성남시 중원구 둔촌대로 474 선텍시티아파트형 공장 1층 B101호,1577-9621 소프트크림 판매점
334,성남운동장점,경기 성남시 중원구 광명로 56 (성남동 2293),1577-9621 소프트크림 판매점
335,진접해밀점,경기 남양주시 진접읍 해밀예당3로 60,1577-9621 소프트크림 판매점
336,진접금곡점,경기 남양주시 진접읍 해밀예당2로 117,1577-9621 소프트크림 판매점
337,중산하늘점,"경기도 고양시 일산동구 중산로 101 하늘마을1단지 상가동 101, 102호",1577-9621 소프트크림 판매점
